state,district,lat,lng,baseline_risk
Karnataka,Kalaburgi,16.8999182,77.0567566,0.09182420820034373
Karnataka,Kodagu,12.3827332,75.6640715,0.03191750552418365
Karnataka,Kolar,13.1805066,78.2669329,0.022587773140191506
Karnataka,Koppal,15.5748238,76.3118494,0.0326540633439725
Karnataka,Mandya,12.6368939,76.7275477,0.17701939602258776
Karnataka,Mangaluru City,12.8698101,74.8430082,0.044193469187331205
Karnataka,Mysuru City,12.3051828,76.6553609,0.08175791799656273
Karnataka,Mysuru District,12.1968318,76.6120468,0.0763564939847778
Karnataka,Raichur,16.0547194,76.9003647,0.11784925116621654
Karnataka,Ramanagara,12.720006,77.3184199,0.08961453474097716
Karnataka,Shimoga,14.0556503,75.2380553,0.16719862509206973
Karnataka,Tumakuru,13.4192512,76.8810004,0.06948195433341517
Karnataka,Udupi,13.5269784,74.8731879,0.056469432850478764
Karnataka,Uttara Kannada,14.7253795,74.6403389,0.06874539651362632
Karnataka,Vijayapura,16.814415,75.8933856,0.08838693837466241
Karnataka,Yadgiri,16.7633571,77.1384994,0.05892462558310827
Kerala,Alapuzha,9.5649344,76.5444815,0.10925607660201325
Kerala,Ernakulam Rural,10.1000756,76.3574874,0.11146575006137982
Kerala,Idukki,9.8154785,76.9991599,0.09943530567149521
Kerala,Kannur,11.8763836,75.3737973,0.13405352320157132
Kerala,Kasargod,12.4914722,74.9877613,0.0869138227350847
Kerala,Kollam Rural,8.9989381,76.7732344,0.12325067517800148
Kerala,Kottayam,9.6287383,76.6455326,0.09231524674686963
Kerala,Kozhikode Rural,11.252788,75.7905332,0.1397004664866192
Kerala,Malappuram,11.1065685,76.1101742,0.24281856125705867
Kerala,Palakkad,10.7873692,76.4742172,0.1532040265160815
Kerala,Pathanamthitta,9.2780841,76.9737443,0.08126687945003683
Kerala,Thrissur Rural,10.5214758,76.1899913,0.1689172600049104
Kerala,Trivandrum Rural,8.6981873,76.8154234,0.2553400441934692
Kerala,Wayanadu,10.8942004,75.927851,0.09329732383992144
Lakshadweep,Lakshadweep,10.8132489,73.6804621,0.00220967345936656
Madhya Pradesh,Agar,23.7913656,77.0768305,0.04566658482690891
Madhya Pradesh,Alirajpur,22.2859525,74.3545628,0.025288485146083967
Madhya Pradesh,Anuppur,23.0346179,81.7510255,0.06579916523447091
Madhya Pradesh,Ashok Nagar,24.5792434,77.7279725,0.09354284311318438
Madhya Pradesh,Balaghat,21.8611589,80.3237105,0.12153204026516082
Madhya Pradesh,Barwani,21.7514248,74.8915957,0.06260741468205254
Madhya Pradesh,Betul,21.8797472,77.8753651,0.1070464031426467
Madhya Pradesh,Bhind,26.3518828,78.6863189,0.10630984532285784
Madhya Pradesh,Bhopal,23.2584857,77.401989,0.2926589737294378
Madhya Pradesh,Burhanpur,21.334867,76.3708803,0.041492757181438744
